state_code,state_name,population,proportion
AL,Alabama,5074296,0.0151
AK,Alaska,733583,0.0022
AZ,Arizona,7359197,0.0219
AR,Arkansas,3045637,0.0091
CA,California,39029342,0.1162
CO,Colorado,5839926,0.0174
CT,Connecticut,3626205,0.0108
DE,Delaware,1018396,0.0030
FL,Florida,22244823,0.0662
GA,Georgia,10912876,0.0325
HI,Hawaii,1440196,0.0043
ID,Idaho,1939033,0.0058
IL,Illinois,12582032,0.0375
IN,Indiana,6833037,0.0203
IA,Iowa,3200517,0.0095
KS,Kansas,2937150,0.0087
KY,Kentucky,4512310,0.0134
LA,Louisiana,4590241,0.0137
ME,Maine,1385340,0.0041
MD,Maryland,6164660,0.0184
MA,Massachusetts,6981974,0.0208
MI,Michigan,10034113,0.0299
MN,Minnesota,5706494,0.0170
MS,Mississippi,2940057,0.0088
MO,Missouri,6177957,0.0184
MT,Montana,1122867,0.0033
NE,Nebraska,1967923,0.0059
NV,Nevada,3177772,0.0095
NH,New Hampshire,1395231,0.0042
NJ,New Jersey,9261699,0.0276
NM,New Mexico,2113344,0.0063
NY,New York,19677151,0.0586
NC,North Carolina,10698973,0.0318
ND,North Dakota,779094,0.0023
OH,Ohio,11756058,0.0350
OK,Oklahoma,4019800,0.0120
OR,Oregon,4240137,0.0126
PA,Pennsylvania,12972008,0.0386
RI,Rhode Island,1095610,0.0033
SC,South Carolina,5282634,0.0157
SD,South Dakota,909824,0.0027
TN,Tennessee,7051620,0.0210
TX,Texas,30029572,0.0894
UT,Utah,3380800,0.0101
VT,Vermont,647064,0.0019
VA,Virginia,8683619,0.0258
WA,Washington,7785786,0.0232
WV,West Virginia,1775156,0.0053
WI,Wisconsin,5892539,0.0175
WY,Wyoming,584057,0.0017
